method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Inverse variance weighted,3,0.272033376258254,0.243397215024668,0.26371566454717,ABHD12,ENSG00000100997,BBJ_Graves,1.31263081128495,0.814626815914787,2.11507847897167,-0.0305621070888015,0.80797450007903,6.7069565334117,0.0349625333454377,,,6,3,0,3,log_odds,log_odds,FALSE
MR Egger,3,0.446751925598406,0.650681031662251,0.616964965128903,ABHD12,ENSG00000100997,BBJ_Graves,1.56322645471394,0.43666765134912,5.59619413338172,-0.0305621070888015,0.80797450007903,6.7069565334117,0.0349625333454377,,,6,3,0,3,log_odds,log_odds,FALSE
Weighted median,3,0.281624444943522,0.134377581756858,0.0361026381696979,ABHD12,ENSG00000100997,BBJ_Graves,1.325280910568,1.01841183025021,1.72461615207714,-0.0305621070888015,0.80797450007903,6.7069565334117,0.0349625333454377,,,6,3,0,3,log_odds,log_odds,FALSE
Weighted mode,3,0.413981771702886,0.767466276635276,0.643620680149179,ABHD12,ENSG00000100997,BBJ_Graves,1.51282955032653,0.336131733959016,6.80879850701698,-0.0305621070888015,0.80797450007903,6.7069565334117,0.0349625333454377,,,6,3,0,3,log_odds,log_odds,FALSE
Wald ratio,1,0.564857101490732,0.307630054568879,0.0663344289348108,ABHD16A,ENSG00000204427,BBJ_Graves,1.75919637821962,0.962618786909519,3.21495065255975,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.0113426252873421,0.174662720035008,0.948221643627541,ABL2,ENSG00000143322,BBJ_Graves,0.98872145976045,0.70209851042831,1.39235464891455,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.394766852265671,0.428198170644419,0.356567388652882,ACACA,ENSG00000132142,BBJ_Graves,0.673837124535009,0.291115475724535,1.55971258234054,,,,,,,2,1,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,3,-0.010418828398972,0.117408710607875,0.929288681824709,ACACB,ENSG00000076555,BBJ_Graves,0.989635259586173,0.786203274375701,1.24570575948553,-0.0860017242455982,0.217895510784183,8.50953337811395,0.0141964025352873,,,4,3,1,1,log_odds,log_odds,FALSE
MR Egger,3,0.208142597005689,0.0964565316828344,0.276263814527356,ACACB,ENSG00000076555,BBJ_Graves,1.23138874937849,1.01927113150382,1.48764956175966,-0.0860017242455982,0.217895510784183,8.50953337811395,0.0141964025352873,,,4,3,1,1,log_odds,log_odds,FALSE
Weighted median,3,-0.0084325049623879,0.0560223639526876,0.880354108876936,ACACB,ENSG00000076555,BBJ_Graves,0.991602948882685,0.888486044509203,1.10668750996083,-0.0860017242455982,0.217895510784183,8.50953337811395,0.0141964025352873,,,4,3,1,1,log_odds,log_odds,FALSE
