method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Weighted median,4,-0.169617971330032,0.094003599232793,0.0711721612419047,DUT,ENSG00000128951,UKB_hyperthyroid,0.84398718231672,0.701969708742826,1.01473661191252,0.242254650068824,0.205892507241389,5.10655971100631,0.164158557431407,,,4,4,1,0,LMM_binary,log_odds,TRUE
Weighted mode,4,-0.168882923208439,0.407334272263712,0.706294551218259,DUT,ENSG00000128951,UKB_hyperthyroid,0.844607781566945,0.380123873364119,1.87665746528924,0.242254650068824,0.205892507241389,5.10655971100631,0.164158557431407,,,4,4,1,0,LMM_binary,log_odds,TRUE
Wald ratio,1,0.224730128476875,0.265219100840391,0.396806949156096,DYRK1A,ENSG00000157540,UKB_hyperthyroid,1.25198479555263,0.744457652322982,2.10551389109091,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.236535684821993,0.206035227645959,0.250954050801381,DYRK1B,ENSG00000105204,UKB_hyperthyroid,0.789357713709874,0.52710013921393,1.18210099720803,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,0.0636161205589734,0.500094072899202,0.898775530438054,DYRK2,ENSG00000127334,UKB_hyperthyroid,1.06568322634885,0.399889003223482,2.83998992161984,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,-0.0360991796804034,0.180110840177623,0.841146192003156,DYRK4,ENSG00000010219,UKB_hyperthyroid,0.964544625511349,0.677655368426615,1.3728900824071,0.022500325809972,0.923220511437706,5.83235941118148,0.0541401239377137,,,3,3,1,0,LMM_binary,log_odds,TRUE
MR Egger,3,-0.161442389121066,1.06470680878737,0.904198579417137,DYRK4,ENSG00000010219,UKB_hyperthyroid,0.850915552046153,0.105581962248123,6.85777438964847,0.022500325809972,0.923220511437706,5.83235941118148,0.0541401239377137,,,3,3,1,0,LMM_binary,log_odds,TRUE
Weighted median,3,-0.00685231324573622,0.109770923659323,0.950225378084617,DYRK4,ENSG00000010219,UKB_hyperthyroid,0.993171110320265,0.800912702402354,1.23158098431464,0.022500325809972,0.923220511437706,5.83235941118148,0.0541401239377137,,,3,3,1,0,LMM_binary,log_odds,TRUE
Weighted mode,3,-0.00560948911166781,0.476356547248037,0.991673526246121,DYRK4,ENSG00000010219,UKB_hyperthyroid,0.994406214695213,0.390913753849488,2.52957003964919,0.022500325809972,0.923220511437706,5.83235941118148,0.0541401239377137,,,3,3,1,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,0.119321390580168,0.0476664801644466,0.0123056585424039,EBPL,ENSG00000123179,UKB_hyperthyroid,1.12673198114856,1.02623328013598,1.23707248821119,0.0119409656863733,0.793220595151641,0.134070972051405,0.935162015564644,,,5,3,1,2,LMM_binary,log_odds,TRUE
MR Egger,3,0.0925143268098957,0.0927883434033809,0.500941401729484,EBPL,ENSG00000123179,UKB_hyperthyroid,1.09692885693893,0.914524678015315,1.31571399450546,0.0119409656863733,0.793220595151641,0.134070972051405,0.935162015564644,,,5,3,1,2,LMM_binary,log_odds,TRUE
Weighted median,3,0.116028502698758,0.0505610936547456,0.0217435624535022,EBPL,ENSG00000123179,UKB_hyperthyroid,1.12302788100247,1.01707286259419,1.24002091481632,0.0119409656863733,0.793220595151641,0.134070972051405,0.935162015564644,,,5,3,1,2,LMM_binary,log_odds,TRUE
Weighted mode,3,0.114879616078939,0.108080975225064,0.399188858340269,EBPL,ENSG00000123179,UKB_hyperthyroid,1.12173839017752,0.907593130142265,1.38641090837787,0.0119409656863733,0.793220595151641,0.134070972051405,0.935162015564644,,,5,3,1,2,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,0.024568701041654,0.0707975880758832,0.728570754080114,ECE1,ENSG00000117298,UKB_hyperthyroid,1.0248729985312,0.892084364724351,1.17742749974426,0.0416687314855527,0.433397422237272,1.81642203873364,0.403244976588772,,,3,3,0,0,LMM_binary,log_odds,TRUE
MR Egger,3,-0.124834912450021,0.140198479214395,0.5368625885571,ECE1,ENSG00000117298,UKB_hyperthyroid,0.88264260386251,0.670572179555687,1.16178092367236,0.0416687314855527,0.433397422237272,1.81642203873364,0.403244976588772,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted median,3,0.015137006471719,0.0755570913789014,0.841215728734244,ECE1,ENSG00000117298,UKB_hyperthyroid,1.01525215120276,0.875504582926448,1.17730615078737,0.0416687314855527,0.433397422237272,1.81642203873364,0.403244976588772,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted mode,3,0.0108469869823864,0.23562421056718,0.96746549243008,ECE1,ENSG00000117298,UKB_hyperthyroid,1.01090602882796,0.637005833469309,1.60427259128067,0.0416687314855527,0.433397422237272,1.81642203873364,0.403244976588772,,,3,3,0,0,LMM_binary,log_odds,TRUE
