method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Inverse variance weighted,3,0.0190996516196193,0.182048730513685,0.916443216898329,ABCC1,ENSG00000103222,BBJ_Graves,1.01928321678001,0.713397963866665,1.45632357902774,0.000325577328411201,0.998129289279818,0.0149734490809027,0.992541231172642,,,4,3,0,1,log_odds,log_odds,FALSE
MR Egger,3,0.016121304743049,1.02977492612747,0.990034421334945,ABCC1,ENSG00000103222,BBJ_Graves,1.01625195411157,0.135032802244877,7.64827521214215,0.000325577328411201,0.998129289279818,0.0149734490809027,0.992541231172642,,,4,3,0,1,log_odds,log_odds,FALSE
Weighted median,3,0.0263212882395595,0.189972352347624,0.889803182099777,ABCC1,ENSG00000103222,BBJ_Graves,1.02667075272824,0.707495137442054,1.48983756739092,0.000325577328411201,0.998129289279818,0.0149734490809027,0.992541231172642,,,4,3,0,1,log_odds,log_odds,FALSE
Weighted mode,3,0.0277942191890993,0.324848766112075,0.939610019951787,ABCC1,ENSG00000103222,BBJ_Graves,1.02818408209615,0.543943791240264,1.94351424485504,0.000325577328411201,0.998129289279818,0.0149734490809027,0.992541231172642,,,4,3,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,4,-0.108213800148146,0.127607822778865,0.396427643073643,ABCC1,ENSG00000103222,UKB_hyperthyroid,0.897435704031381,0.698845820369905,1.15245855293804,-0.0502173323777223,0.371930635223831,5.97929012619876,0.112622164250285,,,4,4,1,0,LMM_binary,log_odds,TRUE
MR Egger,4,0.188311578077648,0.286838593488504,0.578937255687262,ABCC1,ENSG00000103222,UKB_hyperthyroid,1.20720959680269,0.688051172514591,2.1180910211756,-0.0502173323777223,0.371930635223831,5.97929012619876,0.112622164250285,,,4,4,1,0,LMM_binary,log_odds,TRUE
Weighted median,4,-0.0367528138738608,0.0999064985107439,0.712968601193594,ABCC1,ENSG00000103222,UKB_hyperthyroid,0.963914372163008,0.792494628671761,1.17241288867743,-0.0502173323777223,0.371930635223831,5.97929012619876,0.112622164250285,,,4,4,1,0,LMM_binary,log_odds,TRUE
Weighted mode,4,-0.0338715067412114,0.367276747099182,0.93233391361814,ABCC1,ENSG00000103222,UKB_hyperthyroid,0.966695710539629,0.4706060574296,1.98573856418224,-0.0502173323777223,0.371930635223831,5.97929012619876,0.112622164250285,,,4,4,1,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,4,-0.44368633901877,0.189280463602726,0.0190746768055695,ABCC1,ENSG00000103222,FinnGen_GO,0.641666655058655,0.442782744627247,0.9298828854787,-0.0164397617084304,0.844612366281377,2.39631649630421,0.494320674099456,,,4,4,1,0,log_odds,log_odds,FALSE
MR Egger,4,-0.345532541563318,0.48639164599927,0.551122567886745,ABCC1,ENSG00000103222,FinnGen_GO,0.707843297101595,0.272842610674863,1.83637787372124,-0.0164397617084304,0.844612366281377,2.39631649630421,0.494320674099456,,,4,4,1,0,log_odds,log_odds,FALSE
Weighted median,4,-0.439595022515576,0.216277112872274,0.0420975507044328,ABCC1,ENSG00000103222,FinnGen_GO,0.644297294153124,0.421684378195428,0.984430594819549,-0.0164397617084304,0.844612366281377,2.39631649630421,0.494320674099456,,,4,4,1,0,log_odds,log_odds,FALSE
Weighted mode,4,-0.466514642435072,0.567595420580411,0.471361915995753,ABCC1,ENSG00000103222,FinnGen_GO,0.627184425256196,0.20618083266811,1.90784127793847,-0.0164397617084304,0.844612366281377,2.39631649630421,0.494320674099456,,,4,4,1,0,log_odds,log_odds,FALSE
Wald ratio,1,0.147073556120393,0.491560823531378,0.764789687878428,ABCC10,ENSG00000124574,BBJ_Graves,1.15843917018713,0.442026405383979,3.03597544101037,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.026616752949002,0.279748812331428,0.924199507134793,ABCC10,ENSG00000124574,UKB_hyperthyroid,0.973734350841663,0.562747396767681,1.68487422857056,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.457231018672261,0.614020188540338,0.456482461175045,ABCC10,ENSG00000124574,FinnGen_GO,0.633034080476295,0.19000391757635,2.1090730767877,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.0128567131704435,0.200124617769652,0.948776311919875,ABCC2,ENSG00000023839,BBJ_Graves,0.987225581309953,0.666909473611812,1.46138926939291,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.111469540147983,0.162796083494355,0.493521378643435,ABCC2,ENSG00000023839,UKB_hyperthyroid,0.894518637893641,0.650151501645316,1.23073405431526,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.27365628890864,0.334435739043883,0.413207203024908,ABCC2,ENSG00000023839,FinnGen_GO,0.760593454745207,0.394889090349053,1.46497438784621,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,2,0.11684302640451,0.0738061444255744,0.113397070626504,ABCC3,ENSG00000108846,BBJ_Graves,1.12394298647072,0.972566313943215,1.29888092845306,,,0.114040168810424,0.735590525870677,,,4,2,0,2,log_odds,log_odds,FALSE
Inverse variance weighted,4,-0.0760371900732464,0.0435343909074812,0.0807066558520268,ABCC3,ENSG00000108846,UKB_hyperthyroid,0.926781738837707,0.850981749783179,1.00933350411086,-0.0479432980917874,0.290546610094296,2.99604887782891,0.392234762839431,,,4,4,0,0,LMM_binary,log_odds,TRUE
MR Egger,4,0.0650176006217501,0.108222306727422,0.609004112313671,ABCC3,ENSG00000108846,UKB_hyperthyroid,1.06717780721182,0.863209274679969,1.31934225640435,-0.0479432980917874,0.290546610094296,2.99604887782891,0.392234762839431,,,4,4,0,0,LMM_binary,log_odds,TRUE
Weighted median,4,-0.0582936686211411,0.0452682401256146,0.197836906978402,ABCC3,ENSG00000108846,UKB_hyperthyroid,0.943372867744692,0.86327721304255,1.03089987103943,-0.0479432980917874,0.290546610094296,2.99604887782891,0.392234762839431,,,4,4,0,0,LMM_binary,log_odds,TRUE
Weighted mode,4,-0.0590513962876964,0.159071575046859,0.735136297505099,ABCC3,ENSG00000108846,UKB_hyperthyroid,0.942658318773874,0.69016009719819,1.28753416716065,-0.0479432980917874,0.290546610094296,2.99604887782891,0.392234762839431,,,4,4,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,4,-0.0435804717773234,0.0908673252768332,0.631507912802611,ABCC3,ENSG00000108846,FinnGen_GO,0.957355510891615,0.801171354303595,1.1439869502464,-0.0660165483149583,0.456108771198275,1.88440013341984,0.596742926312883,,,4,4,0,0,log_odds,log_odds,FALSE
MR Egger,4,0.151845649165229,0.231761508362999,0.579637566953305,ABCC3,ENSG00000108846,FinnGen_GO,1.16398056119468,0.739037284087379,1.83326440493751,-0.0660165483149583,0.456108771198275,1.88440013341984,0.596742926312883,,,4,4,0,0,log_odds,log_odds,FALSE
