gene_symbol,outcome,method,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed
ADAMTS6,UKB_hyperthyroid,Wald ratio,1,1,0,0
ADAMTS6,FinnGen_GO,Wald ratio,1,1,0,0
ADAMTS8,BBJ_Graves,Wald ratio,1,1,0,0
ADAMTS8,UKB_hyperthyroid,Wald ratio,1,1,0,0
ADAMTS8,FinnGen_GO,Wald ratio,1,1,0,0
ADAMTSL4,UKB_hyperthyroid,Inverse variance weighted,3,3,0,0
ADAMTSL4,UKB_hyperthyroid,MR Egger,3,3,0,0
ADAMTSL4,UKB_hyperthyroid,Weighted median,3,3,0,0
ADAMTSL4,UKB_hyperthyroid,Weighted mode,3,3,0,0
ADAMTSL4,FinnGen_GO,Inverse variance weighted,3,3,0,0
ADAMTSL4,FinnGen_GO,MR Egger,3,3,0,0
ADAMTSL4,FinnGen_GO,Weighted median,3,3,0,0
ADAMTSL4,FinnGen_GO,Weighted mode,3,3,0,0
ADC,BBJ_Graves,Inverse variance weighted,2,2,0,0
ADC,UKB_hyperthyroid,Inverse variance weighted,2,2,0,0
ADC,FinnGen_GO,Inverse variance weighted,2,2,0,0
ADCK3,BBJ_Graves,Inverse variance weighted,5,3,2,2
ADCK3,BBJ_Graves,MR Egger,5,3,2,2
ADCK3,BBJ_Graves,Weighted median,5,3,2,2
ADCK3,BBJ_Graves,Weighted mode,5,3,2,2
ADCK3,UKB_hyperthyroid,Inverse variance weighted,5,4,2,1
ADCK3,UKB_hyperthyroid,MR Egger,5,4,2,1
ADCK3,UKB_hyperthyroid,Weighted median,5,4,2,1
ADCK3,UKB_hyperthyroid,Weighted mode,5,4,2,1
ADCK3,FinnGen_GO,Inverse variance weighted,5,4,2,1
ADCK3,FinnGen_GO,MR Egger,5,4,2,1
ADCK3,FinnGen_GO,Weighted median,5,4,2,1
ADCK3,FinnGen_GO,Weighted mode,5,4,2,1
ADCK4,UKB_hyperthyroid,Wald ratio,1,1,0,0
ADCK4,FinnGen_GO,Wald ratio,1,1,0,0
ADH5,BBJ_Graves,Wald ratio,3,1,0,2
ADH5,UKB_hyperthyroid,Inverse variance weighted,3,3,0,0
ADH5,UKB_hyperthyroid,MR Egger,3,3,0,0
ADH5,UKB_hyperthyroid,Weighted median,3,3,0,0
ADH5,UKB_hyperthyroid,Weighted mode,3,3,0,0
ADH5,FinnGen_GO,Inverse variance weighted,3,3,0,0
ADH5,FinnGen_GO,MR Egger,3,3,0,0
ADH5,FinnGen_GO,Weighted median,3,3,0,0
ADH5,FinnGen_GO,Weighted mode,3,3,0,0
ADHFE1,BBJ_Graves,Inverse variance weighted,4,2,0,2
ADHFE1,UKB_hyperthyroid,Inverse variance weighted,4,4,2,0
ADHFE1,UKB_hyperthyroid,MR Egger,4,4,2,0
ADHFE1,UKB_hyperthyroid,Weighted median,4,4,2,0
ADHFE1,UKB_hyperthyroid,Weighted mode,4,4,2,0
ADHFE1,FinnGen_GO,Inverse variance weighted,4,3,1,1
ADHFE1,FinnGen_GO,MR Egger,4,3,1,1
ADHFE1,FinnGen_GO,Weighted median,4,3,1,1
ADHFE1,FinnGen_GO,Weighted mode,4,3,1,1
ADK,BBJ_Graves,Inverse variance weighted,17,3,0,14
ADK,BBJ_Graves,MR Egger,17,3,0,14
ADK,BBJ_Graves,Weighted median,17,3,0,14
ADK,BBJ_Graves,Weighted mode,17,3,0,14
ADK,UKB_hyperthyroid,Inverse variance weighted,17,11,0,6
ADK,UKB_hyperthyroid,MR Egger,17,11,0,6
ADK,UKB_hyperthyroid,Weighted median,17,11,0,6
ADK,UKB_hyperthyroid,Weighted mode,17,11,0,6
ADK,FinnGen_GO,Inverse variance weighted,17,16,0,1
ADK,FinnGen_GO,MR Egger,17,16,0,1
ADK,FinnGen_GO,Weighted median,17,16,0,1
ADK,FinnGen_GO,Weighted mode,17,16,0,1
ADM,BBJ_Graves,Wald ratio,2,1,1,1
ADM,UKB_hyperthyroid,Wald ratio,2,1,1,1
ADM,FinnGen_GO,Wald ratio,2,1,1,1
ADM2,BBJ_Graves,Wald ratio,1,1,0,0
ADM2,UKB_hyperthyroid,Wald ratio,1,1,0,0
ADM2,FinnGen_GO,Wald ratio,1,1,0,0
ADORA1,BBJ_Graves,Inverse variance weighted,3,2,0,1
ADORA1,UKB_hyperthyroid,Inverse variance weighted,3,3,0,0
ADORA1,UKB_hyperthyroid,MR Egger,3,3,0,0
