"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","gene","outcome_role","n_iv","b_rescaled","se_rescaled","scale_note"
"eqtl-a-ENSG00000169047","ebi-a-GCST90038636","outcome","exposure","Weighted mode",3,-5.9811991893078e-06,0.000999059612948755,0.995766710459625,"IRS1","Replication",3,-0.000782890958307269,0.130768883133962,"rescaled (×130.9)"
"eqtl-a-ENSG00000142208","ebi-a-GCST90018627","outcome","exposure","Inverse variance weighted",2,0.0807837472100495,0.161931832536688,0.617867428598025,"AKT1","Primary",2,0.0807837472100495,0.161931832536688,"as reported (log-odds)"
"eqtl-a-ENSG00000142208","ebi-a-GCST90038636","outcome","exposure","Inverse variance weighted",3,-0.000147103910675785,0.000622010842609527,0.813046769938572,"AKT1","Replication",3,-0.0192547209940086,0.081416225949907,"rescaled (×130.9)"
"eqtl-a-ENSG00000142208","ebi-a-GCST90038636","outcome","exposure","MR Egger",3,0.000956864530391348,0.00249332197951903,0.766718320651783,"AKT1","Replication",3,0.125245885558781,0.326355831352966,"rescaled (×130.9)"
"eqtl-a-ENSG00000142208","ebi-a-GCST90038636","outcome","exposure","Weighted median",3,-6.53235840703174e-05,0.000483662232609063,0.892564169363827,"AKT1","Replication",3,-0.008550332753388,0.063307503528931,"rescaled (×130.9)"
"eqtl-a-ENSG00000142208","ebi-a-GCST90038636","outcome","exposure","Weighted mode",3,-8.42114192420775e-05,0.0015603080877593,0.96186448651923,"AKT1","Replication",3,-0.0110225987505484,0.204231802924094,"rescaled (×130.9)"
"eqtl-a-ENSG00000163599","ebi-a-GCST90018627","outcome","exposure","Inverse variance weighted",5,-0.942774578251567,0.377841442596884,0.0125900604991177,"CTLA4","Primary",5,-0.942774578251567,0.377841442596884,"as reported (log-odds)"
"eqtl-a-ENSG00000163599","ebi-a-GCST90018627","outcome","exposure","MR Egger",5,-1.62325130285247,0.861896676886067,0.156177336740234,"CTLA4","Primary",5,-1.62325130285247,0.861896676886067,"as reported (log-odds)"
"eqtl-a-ENSG00000163599","ebi-a-GCST90018627","outcome","exposure","Weighted median",5,-0.860198187570021,0.15629729161909,3.72107715725126e-08,"CTLA4","Primary",5,-0.860198187570021,0.15629729161909,"as reported (log-odds)"
"eqtl-a-ENSG00000163599","ebi-a-GCST90018627","outcome","exposure","Weighted mode",5,-0.979814853972854,1.0222570722819,0.392097729053794,"CTLA4","Primary",5,-0.979814853972854,1.0222570722819,"as reported (log-odds)"
"eqtl-a-ENSG00000163599","ebi-a-GCST90018627","outcome","exposure","Simple mode",5,-0.344082071964074,1.03148903520742,0.755451768610995,"CTLA4","Primary",5,-0.344082071964074,1.03148903520742,"as reported (log-odds)"
"eqtl-a-ENSG00000163599","ebi-a-GCST90038636","outcome","exposure","Inverse variance weighted",7,-0.000605996109397307,0.00517883429648296,0.906848960368476,"CTLA4","Replication",7,-0.0793200259347055,0.677867835021444,"rescaled (×130.9)"
"eqtl-a-ENSG00000163599","ebi-a-GCST90038636","outcome","exposure","MR Egger",7,-0.0182189313206072,0.00955560517703262,0.114882956985405,"CTLA4","Replication",7,-2.38471185283752,1.25075200766199,"rescaled (×130.9)"
"eqtl-a-ENSG00000163599","ebi-a-GCST90038636","outcome","exposure","Weighted median",7,-0.00453556063851012,0.00118147414674305,0.00012358694616852,"CTLA4","Replication",7,-0.59366847723305,0.154645481229321,"rescaled (×130.9)"
"eqtl-a-ENSG00000163599","ebi-a-GCST90038636","outcome","exposure","Weighted mode",7,-0.0064177823904682,0.010737341265383,0.571888843676263,"CTLA4","Replication",7,-0.840036194558275,1.4054317749449,"rescaled (×130.9)"
"eqtl-a-ENSG00000163599","ebi-a-GCST90038636","outcome","exposure","Simple mode",7,-3.01063348082942e-05,0.00211702768925436,0.989114712154319,"CTLA4","Replication",7,-0.00394067754026976,0.277101929553893,"rescaled (×130.9)"
